iter	Passed	Remaining
0	155	155531
1	159	79729
2	164	54738
3	168	42066
4	171	34100
5	173	28788
6	176	25103
7	179	22236
8	181	20026
9	184	18250
10	186	16791
11	190	15672
12	193	14653
13	195	13774
14	197	12999
15	200	12326
16	203	11787
17	206	11241
18	208	10753
19	210	10313
20	212	9920
21	215	9580
22	217	9236
23	218	8897
24	220	8587
25	221	8300
26	222	8031
27	224	7782
28	225	7551
29	226	7334
30	228	7136
31	230	6981
32	232	6806
33	233	6638
34	234	6478
35	236	6327
36	237	6185
37	239	6053
38	240	5924
39	241	5800
40	243	5692
41	245	5599
42	246	5492
43	248	5389
44	249	5290
45	250	5196
46	251	5106
47	253	5020
48	254	4939
49	256	4876
50	257	4799
51	259	4724
52	260	4653
53	261	4584
54	262	4518
55	264	4455
56	265	4392
57	266	4332
58	268	4275
59	270	4244
60	272	4191
61	273	4141
62	275	4093
63	276	4045
64	278	3999
65	279	3954
66	280	3909
67	282	3870
68	285	3849
69	286	3809
70	287	3767
71	289	3726
72	290	3688
73	291	3649
74	292	3612
75	294	3576
76	295	3540
77	296	3506
78	297	3473
79	300	3457
80	301	3425
81	303	3394
82	303	3357
83	305	3327
84	306	3298
85	307	3270
86	308	3241
87	310	3214
88	311	3187
89	312	3161
90	315	3150
91	316	3125
92	317	3100
93	319	3075
94	320	3051
95	321	3028
96	322	3005
97	324	2982
98	325	2960
99	326	2940
100	327	2919
101	330	2909
102	331	2889
103	333	2869
104	334	2849
105	335	2830
106	336	2811
107	338	2792
108	339	2773
109	340	2755
110	341	2738
111	344	2729
112	345	2715
113	347	2698
114	348	2682
115	349	2665
116	350	2647
117	352	2631
118	353	2615
119	354	2600
120	355	2585
121	356	2568
122	359	2564
123	361	2551
124	362	2538
125	364	2525
126	365	2510
127	366	2497
128	368	2485
129	369	2473
130	370	2460
131	372	2447
132	374	2443
133	376	2431
134	377	2418
135	378	2405
136	379	2393
137	381	2380
138	382	2368
139	383	2357
140	384	2345
141	385	2331
142	387	2319
143	389	2317
144	391	2306
145	392	2295
146	393	2284
147	394	2273
148	396	2263
149	397	2253
150	398	2243
151	400	2233
152	401	2223
153	403	2213
154	405	2209
155	406	2200
156	407	2190
157	409	2180
158	410	2170
159	412	2163
160	412	2151
161	414	2145
162	416	2139
